eventID,deploymentID,scientificName,min_event_start,max_event_end,observation_count
69773204,665938b4a122a53b9a6eb5b6,Marmota monax,2023-12-15 13:36:59+00:00,2023-12-15 13:36:59+00:00,4
6a6ffb1d,665938b4a122a53b9a6eb5b6,Marmota monax,2024-01-13 14:45:49+00:00,2024-01-13 14:45:49+00:00,1
6aa9eb81,665938b4a122a53b9a6eb5b6,Canis latrans,2024-01-14 02:11:02+00:00,2024-01-14 02:11:02+00:00,1
6d69df09,665938b4a122a53b9a6eb5b6,Passer domesticus,2024-12-24 11:51:08+00:00,2024-12-24 11:51:08+00:00,1
77cdc0b6,665938b4a122a53b9a6eb5b6,Canis familiaris,2024-04-24 17:49:42+00:00,2024-04-24 17:51:14+00:00,3
781e3f1d,665938b4a122a53b9a6eb5b6,Nerodia sipedon,2023-12-18 04:25:57+00:00,2023-12-18 04:25:57+00:00,1
792b1a35,665938b4a122a53b9a6eb5b6,Trachemys scripta elegans,2024-05-31 13:56:33+00:00,2024-05-31 13:58:55+00:00,2
79adddd4,665938b4a122a53b9a6eb5b6,Marmota monax,2023-12-17 20:07:46+00:00,2023-12-17 20:07:46+00:00,1
7a7ecfcd,665938b4a122a53b9a6eb5b6,Lithobates clamitans,2023-12-15 10:43:40+00:00,2023-12-15 10:43:40+00:00,1
825131f8,665938b4a122a53b9a6eb5b6,Nycticorax nycticorax,2024-06-25 01:07:56+00:00,2024-06-25 01:07:56+00:00,1
872c1052,665938b4a122a53b9a6eb5b6,Apalone spinifera,2023-12-18 08:08:53+00:00,2023-12-18 08:08:53+00:00,1
89d92c13,665938b4a122a53b9a6eb5b6,Branta canadensis,2023-12-15 09:03:20+00:00,2023-12-15 09:03:20+00:00,1
8c7e37d2,665938b4a122a53b9a6eb5b6,Canis latrans,2024-02-01 14:43:11+00:00,2024-02-01 14:43:11+00:00,1
8d085fb9,665938b4a122a53b9a6eb5b6,Nycticorax,2024-08-12 21:56:04+00:00,2024-08-12 21:57:04+00:00,2
8e7c781b,665938b4a122a53b9a6eb5b6,Leporidae,2024-08-13 00:23:23+00:00,2024-08-13 00:23:23+00:00,1
90471b61,665938b4a122a53b9a6eb5b6,Marmota monax,2023-12-18 11:40:13+00:00,2023-12-18 11:40:13+00:00,1
907ca690,665938b4a122a53b9a6eb5b6,Marmota monax,2024-01-13 05:36:42+00:00,2024-01-13 05:36:42+00:00,1
972ea752,665938b4a122a53b9a6eb5b6,Branta canadensis,2024-04-23 22:13:16+00:00,2024-04-23 22:13:16+00:00,1
98a6779f,665938b4a122a53b9a6eb5b6,Reptilia,2024-01-13 16:41:28+00:00,2024-01-13 16:41:28+00:00,2
9c173031,665938b4a122a53b9a6eb5b6,Canis familiaris,2024-03-11 14:39:21+00:00,2024-03-11 14:39:21+00:00,1
9c5d34e8,665938b4a122a53b9a6eb5b6,Apalone spinifera,2024-01-13 16:41:28+00:00,2024-01-13 16:41:28+00:00,1
9d70d02f,665938b4a122a53b9a6eb5b6,Branta canadensis,2024-06-10 19:05:09+00:00,2024-06-10 19:05:09+00:00,1
a185a2a1,665938b4a122a53b9a6eb5b6,Canis latrans,2023-12-12 11:51:59+00:00,2023-12-12 11:51:59+00:00,1
a22d48ef,665938b4a122a53b9a6eb5b6,Marmota monax,2024-04-23 04:51:35+00:00,2024-04-23 04:52:12+00:00,4
a45f2f2f,665938b4a122a53b9a6eb5b6,Branta canadensis,2024-07-13 14:32:29+00:00,2024-07-13 14:34:43+00:00,2
a87470cb,665938b4a122a53b9a6eb5b6,Lithobates catesbeianus,2023-12-12 11:51:54+00:00,2023-12-12 11:52:03+00:00,3
a8ee97d9,665938b4a122a53b9a6eb5b6,Lithobates catesbeianus,2023-12-18 08:48:08+00:00,2023-12-18 08:48:08+00:00,1
ac61bdb8,665938b4a122a53b9a6eb5b6,Castor canadensis,2024-01-13 05:36:42+00:00,2024-01-13 05:36:42+00:00,1
ad4459fc,665938b4a122a53b9a6eb5b6,Tamias striatus,2024-01-27 14:24:57+00:00,2024-01-27 14:24:57+00:00,1
