eventID,deploymentID,scientificName,min_event_start,max_event_end,observation_count
b5603e39,665938b4a122a53b9a6eb5b6,Marmota monax,2024-12-17 12:34:04+00:00,2024-12-17 12:34:04+00:00,1
ba0ad732,665938b4a122a53b9a6eb5b6,Marmota monax,2023-12-17 20:07:46+00:00,2023-12-17 20:07:46+00:00,1
c0bcea8a,665938b4a122a53b9a6eb5b6,Anas platyrhynchos,2024-06-01 14:05:51+00:00,2024-06-01 14:05:51+00:00,1
c3199561,665938b4a122a53b9a6eb5b6,Passer domesticus,2024-12-24 11:51:08+00:00,2024-12-24 11:51:08+00:00,1
c352aca7,665938b4a122a53b9a6eb5b6,Leporidae,2024-08-13 00:23:23+00:00,2024-08-13 00:23:23+00:00,1
c422bf0a,665938b4a122a53b9a6eb5b6,Ardea herodias,2024-08-19 18:29:58+00:00,2024-08-19 18:32:39+00:00,2
c5e3c394,665938b4a122a53b9a6eb5b6,Trachemys scripta elegans,2024-05-31 13:46:23+00:00,2024-05-31 13:46:53+00:00,2
ca6787b8,665938b4a122a53b9a6eb5b6,Canis familiaris,2024-03-11 14:39:21+00:00,2024-03-11 14:39:21+00:00,1
ca6af6b0,665938b4a122a53b9a6eb5b6,Cornales,2024-12-17 12:43:56+00:00,2024-12-17 12:43:56+00:00,1
caee6f9d,665938b4a122a53b9a6eb5b6,Trachemys scripta elegans,2024-05-31 13:18:32+00:00,2024-05-31 13:24:54+00:00,8
ccd4e006,665938b4a122a53b9a6eb5b6,Rattus rattus,2024-08-12 23:00:25+00:00,2024-08-12 23:00:25+00:00,1
ceef8a53,665938b4a122a53b9a6eb5b6,Marmota monax,2024-01-13 05:36:42+00:00,2024-01-13 05:36:42+00:00,1
cfd34c1c,665938b4a122a53b9a6eb5b6,Sciurus carolinensis,2023-12-13 03:09:40+00:00,2023-12-13 03:09:45+00:00,2
d6d91511,665938b4a122a53b9a6eb5b6,Lithobates pipiens,2023-12-17 21:03:31+00:00,2023-12-17 21:03:31+00:00,1
d8536692,665938b4a122a53b9a6eb5b6,Branta canadensis,2024-06-10 19:05:09+00:00,2024-06-10 19:05:09+00:00,1
dcf64948,665938b4a122a53b9a6eb5b6,Ondatra zibethicus,2023-12-18 11:40:13+00:00,2023-12-18 11:40:13+00:00,1
de636943,665938b4a122a53b9a6eb5b6,Lithobates catesbeianus,2023-12-12 11:51:54+00:00,2023-12-12 11:52:03+00:00,3
dfe90765,665938b4a122a53b9a6eb5b6,Anas platyrhynchos,2024-06-23 08:29:03+00:00,2024-06-23 08:29:03+00:00,1
